"reg_date","rider_cnt","day_of_reg","rain_c","snow_c","is_rain","is_holiday","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1"
2022-07-02,17145,"토요일",0,0,0,0,17566,17387,17522,16906,273055
2022-07-03,17029,"일요일",0,0,0,0,17347,17127,17482,16246,284154
2022-07-04,15744,"월요일",0,0,0,0,15913,15913,15913,15913,178869
2022-07-05,16440,"화요일",0,0,0,0,16352,16304,15689,15689,189892
2022-07-06,16159,"수요일",16.1,0,1,0,14423,15135,15135,15135,207305
2022-07-07,15677,"목요일",0,0,0,0,16048,16048,16048,16048,165867
2022-07-08,16940,"금요일",1.7,0,1,0,17315,17424,17424,17424,220879
2022-07-09,17065,"토요일",0.1,0,1,0,17145,17145,17145,17145,274966
2022-07-10,16811,"일요일",0,0,0,0,17029,17347,17127,17482,283489
2022-07-11,15628,"월요일",9,0,1,0,15240,15756,17104,17104,195428
2022-07-12,16027,"화요일",0,0,0,0,16440,16352,16304,15689,216995
2022-07-13,13515,"수요일",114.5,0,1,0,16159,14423,15135,15135,215042
2022-07-14,15929,"목요일",0.9,0,1,0,13444,14912,16500,15568,214038
2022-07-15,16808,"금요일",0,0,0,0,16834,17400,16897,16897,230607
2022-07-16,17494,"토요일",34,0,1,0,17065,17065,17065,17065,279473
2022-07-17,17101,"일요일",0,0,0,0,16811,17029,17347,17127,295548
2022-07-18,15715,"월요일",0,0,0,0,15744,15913,15913,15913,207096
2022-07-19,16255,"화요일",0,0,0,0,16027,16440,16352,16304,198671
2022-07-20,16172,"수요일",1.1,0,1,0,13515,16159,14423,15135,215482
2022-07-21,16208,"목요일",10.4,0,1,0,15929,13444,14912,16500,203091
2022-07-22,17148,"금요일",5.2,0,1,0,16940,17315,17424,17424,236713
2022-07-23,16920,"토요일",9.9,0,1,0,17494,17065,17065,17065,297148
2022-07-24,17020,"일요일",1.2,0,1,0,17101,17101,17101,17101,286607
2022-07-25,15652,"월요일",0,0,0,0,15715,15744,15913,15913,202547
2022-07-26,16682,"화요일",0,0,0,0,16255,16027,16440,16352,216681
2022-07-27,15804,"수요일",0,0,0,0,15984,15419,16704,16704,191127
