feature,perm_importance_train,perm_importance_test
rider_cnt_w_1,0.07533283329042931,0.07247445367999181
rider_cnt_w_4,0.05036284500854038,0.04757861843749502
rider_cnt_w_2,0.01664573512494851,0.016820224615931134
rider_cnt_w_3,0.010928538031392621,0.009913549131373078
group_s_C,0.0016141435115087476,0.0018420086530438252
group_s_G,0.0013400104012272652,0.004881838393198112
group_s_D,0.0013242173059568652,-9.914203053280612e-05
is_holiday_1,0.0012971656351898676,0.0005740390458647715
is_holiday_0,0.0012780725291966944,0.0005625428881799622
month_3,0.0005395805054621006,8.613453096706358e-05
pick_rgn2_nm_강남구,0.00035120555971510645,0.00037657933825079314
order_cnt_w_1,0.0003365110627071566,0.0001607163431574632
hour_reg_11,0.0003025999178193128,1.1041453258786582e-05
month_2,0.00019966191113780508,0.00010968964771713718
rain_group_no,0.00013341258581143212,3.5834559637626385e-06
day_of_reg_금요일,0.00010963626883710997,1.8562247408171474e-05
is_weekend_1,9.59345599280903e-05,1.4267719096672237e-05
day_of_reg_화요일,9.509635011240025e-05,-5.8289334025518615e-06
month_9,8.88296313878989e-05,0.0
hour_reg_13,8.585862899053165e-05,4.521658501435155e-05
pick_rgn2_nm_관악구,8.217439741555754e-05,3.6817752649587196e-05
is_weekend_0,7.905794511318121e-05,1.1894336632201074e-05
group_s_H,5.736013539601181e-05,0.0
hour_reg_14,5.5148571894747536e-05,4.763683978763478e-05
group_s_B,4.8055099875665694e-05,4.635996111601593e-06
month_6,4.277484929624542e-05,0.0
month_1,4.258624720878679e-05,4.967426423838628e-05
rain_group_normal,3.893181013974179e-05,1.2792263635041933e-07
day_of_reg_월요일,3.757030080653312e-05,1.5384631610881882e-07
hour_reg_22,3.3486278829175654e-05,4.311852169682773e-05
day_of_reg_수요일,3.339845753917992e-05,1.1346726814065455e-05
month_4,3.119851077761915e-05,3.97619026091256e-06
rain_group_weak,2.9841562536025988e-05,1.9477435047043913e-07
hour_reg_17,2.9572794506083076e-05,8.33004540252702e-06
pick_rgn2_nm_송파구,2.9099167764390366e-05,1.0505653564352179e-05
hour_reg_12,2.8734275732067437e-05,1.0406372292193211e-05
month_12,2.6392621669835138e-05,0.0
month_7,1.9271578874624497e-05,0.0
hour_reg_23,1.829110922284549e-05,2.1477331595054493e-05
hour_reg_21,1.678939142037983e-05,1.3647131368155208e-05
hour_reg_19,1.6623979581154026e-05,4.18029241113782e-06
group_s_A,1.6382433647166295e-05,5.117141513211187e-06
pick_rgn2_nm_강서구,1.5694473038418978e-05,7.2485358528107115e-06
rain_group_strong,1.4660929074583606e-05,6.583978682250801e-08
pick_rgn2_nm_영등포구,1.3573735400274067e-05,4.888883292442081e-06
hour_reg_20,1.2515700987125733e-05,6.183226146583287e-06
day_of_reg_토요일,1.2154654855400792e-05,1.3284724174078555e-05
day_of_reg_목요일,1.1093083332691656e-05,-1.5541322612833142e-06
day_of_reg_일요일,1.0277683304549256e-05,7.0898305869926405e-06
hour_reg_15,1.0096680802362811e-05,9.207816340150999e-06
hour_reg_18,1.0042069562121725e-05,7.903754829574617e-06
month_8,9.016268269035343e-06,0.0
group_s_F,9.01057673523553e-06,3.548114979690098e-06
month_5,8.98905145456652e-06,-1.526237201909808e-06
pick_rgn2_nm_중구,8.987138939642313e-06,9.28397183708185e-06
hour_reg_16,8.60481860511797e-06,7.877459289540312e-06
pick_rgn2_nm_서초구,7.830046856094342e-06,1.8579162620602219e-06
group_s_E,5.800212989726106e-06,5.464610567162964e-06
hour_reg_10,5.629343082502736e-06,1.7236705243117712e-07
month_10,5.1807788236102326e-06,0.0
pick_rgn2_nm_도봉구,4.486176369122852e-06,3.434130037716088e-06
month_11,3.034196932993893e-06,0.0
pick_rgn2_nm_종로구,2.645515041233004e-06,2.122050142694398e-06
pick_rgn2_nm_마포구,2.5798796874365593e-06,7.648400481841122e-07
pick_rgn2_nm_성동구,1.5450584696319326e-06,5.516645256387065e-07
pick_rgn2_nm_동작구,1.5250603515148953e-06,3.948702054890063e-07
pick_rgn2_nm_양천구,1.2078963744110993e-06,3.386856785025927e-07
rain_group_very_strong,1.1277380007390646e-06,0.0
pick_rgn2_nm_용산구,1.039665423707703e-06,5.890587960521998e-07
pick_rgn2_nm_은평구,1.011586652110985e-06,6.112195022556221e-07
pick_rgn2_nm_중랑구,9.46383039512888e-07,1.0330929894664108e-06
pick_rgn2_nm_강북구,8.144526421061116e-07,6.075422099405259e-07
pick_rgn2_nm_광진구,7.688722323484498e-07,4.694956311279697e-07
pick_rgn2_nm_구로구,6.043690021551029e-07,3.00711848089108e-07
pick_rgn2_nm_금천구,5.791823422640619e-07,3.017049361231372e-07
pick_rgn2_nm_노원구,4.2959630184302713e-07,1.1515970184117208e-07
pick_rgn2_nm_성북구,3.89294133373852e-07,2.421910037408992e-07
hour_reg_9,3.2727177143865307e-07,2.688119034921499e-07
pick_rgn2_nm_서대문구,2.690711959241199e-07,-1.149936175615096e-07
pick_rgn2_nm_강동구,2.506770898635935e-07,1.3799461089369914e-07
pick_rgn2_nm_동대문구,2.0855328766167248e-07,7.88205695378963e-08
