feature,perm_importance_train,perm_importance_test
rider_cnt_w_1,0.270233421728863,0.2809880335998619
rider_cnt_w_2,0.12313130908036103,0.130592688851882
rider_cnt_w_3,0.09301333668741223,0.10130300262298855
rider_cnt_w_4,0.08749166850630927,0.09392197071116423
order_cnt_w_1,0.005629495103333304,0.010167042413339012
holiday_yn_N,0.0016578561072296606,0.0004173932240024936
day_of_reg_수요일,0.001139765025045092,-0.00012182520977483957
pick_rgn2_nm_관악구,4.2488159439191264e-05,8.45501322435771e-05
hour_reg_11,3.086914991252687e-05,2.0534940509309153e-05
hour_reg_19,2.005000868630091e-05,1.8392488561924657e-05
hour_reg_20,0.0,0.0
hour_reg_22,0.0,0.0
hour_reg_21,0.0,0.0
hour_reg_16,0.0,0.0
hour_reg_18,0.0,0.0
hour_reg_17,0.0,0.0
day_of_reg_금요일,0.0,0.0
hour_reg_23,0.0,0.0
day_of_reg_일요일,0.0,0.0
day_of_reg_목요일,0.0,0.0
day_of_reg_월요일,0.0,0.0
hour_reg_14,0.0,0.0
day_of_reg_토요일,0.0,0.0
day_of_reg_화요일,0.0,0.0
rain_group_no,0.0,0.0
rain_group_normal,0.0,0.0
rain_group_weak,0.0,0.0
holiday_yn_Y,0.0,0.0
hour_reg_15,0.0,0.0
pick_rgn2_nm_강남구,0.0,0.0
hour_reg_13,0.0,0.0
pick_rgn2_nm_서초구,0.0,0.0
pick_rgn2_nm_강북구,0.0,0.0
pick_rgn2_nm_강서구,0.0,0.0
pick_rgn2_nm_광진구,0.0,0.0
pick_rgn2_nm_구로구,0.0,0.0
pick_rgn2_nm_금천구,0.0,0.0
pick_rgn2_nm_노원구,0.0,0.0
pick_rgn2_nm_도봉구,0.0,0.0
pick_rgn2_nm_동대문구,0.0,0.0
pick_rgn2_nm_동작구,0.0,0.0
pick_rgn2_nm_마포구,0.0,0.0
pick_rgn2_nm_서대문구,0.0,0.0
pick_rgn2_nm_성동구,0.0,0.0
pick_rgn2_nm_강동구,0.0,0.0
pick_rgn2_nm_성북구,0.0,0.0
pick_rgn2_nm_송파구,0.0,0.0
pick_rgn2_nm_양천구,0.0,0.0
pick_rgn2_nm_영등포구,0.0,0.0
pick_rgn2_nm_용산구,0.0,0.0
pick_rgn2_nm_은평구,0.0,0.0
pick_rgn2_nm_종로구,0.0,0.0
pick_rgn2_nm_중구,0.0,0.0
pick_rgn2_nm_중랑구,0.0,0.0
hour_reg_9,0.0,0.0
hour_reg_10,0.0,0.0
hour_reg_12,0.0,0.0
