feature,perm_importance_train,perm_importance_test
rider_cnt_w_4,0.153254461 ,0.152427686 
rider_cnt_w_1,0.145184668 ,0.147256501 
rider_cnt_w_2,0.109921865 ,0.112376108 
rider_cnt_w_3,0.100399914 ,0.101573842 
group_s_G,0.001367010 ,0.005663040 
order_cnt_w_1,0.001027733 ,0.001317042 
is_holiday_0,0.000776380 ,0.001038882 
group_s_C,0.000671919 ,0.001264171 
snow_c,0.000455019 ,0.000262655 
month_4,0.000425904 ,0.000142423 
pick_rgn2_nm_강남구,0.000401951 ,0.000346607 
is_weekend_0,0.000349154 ,0.000452462 
rain_c,0.000265266 ,0.000009811 
group_s_D,0.000233211 ,0.000165756 
hour_reg_11,0.000198047 ,0.000067641 
is_rain_0,0.000163134 ,0.000047677 
month_7,0.000157117 ,0.000000000 
day_of_reg_화요일,0.000084897 ,(0.000039997)
day_of_reg_금요일,0.000052436 ,0.000034256 
month_2,0.000050332 ,0.000017066 
group_s_A,0.000042542 ,0.000017795 
month_3,0.000042409 ,(0.000017213)
hour_reg_19,0.000040370 ,0.000008607 
is_holiday_1,0.000033362 ,0.000041649 
day_of_reg_수요일,0.000033196 ,0.000019587 
group_s_E,0.000005527 ,(0.000004037)
day_of_reg_목요일,0.000000929 ,(0.000024085)
pick_rgn2_nm_금천구,0.000000000 ,0.000000000 
group_s_H,0.000000000 ,0.000000000 
pick_rgn2_nm_구로구,0.000000000 ,0.000000000 
pick_rgn2_nm_광진구,0.000000000 ,0.000000000 
month_1,0.000000000 ,0.000000000 
rain_group_no,0.000000000 ,0.000000000 
rain_group_normal,0.000000000 ,0.000000000 
rain_group_strong,0.000000000 ,0.000000000 
rain_group_very_strong,0.000000000 ,0.000000000 
rain_group_weak,0.000000000 ,0.000000000 
is_weekend_1,0.000000000 ,0.000000000 
pick_rgn2_nm_마포구,0.000000000 ,0.000000000 
pick_rgn2_nm_관악구,0.000000000 ,0.000000000 
month_5,0.000000000 ,0.000000000 
month_6,0.000000000 ,0.000000000 
pick_rgn2_nm_강서구,0.000000000 ,0.000000000 
month_8,0.000000000 ,0.000000000 
month_9,0.000000000 ,0.000000000 
month_10,0.000000000 ,0.000000000 
month_11,0.000000000 ,0.000000000 
month_12,0.000000000 ,0.000000000 
pick_rgn2_nm_강북구,0.000000000 ,0.000000000 
pick_rgn2_nm_강동구,0.000000000 ,0.000000000 
day_of_reg_토요일,0.000000000 ,0.000000000 
day_of_reg_일요일,0.000000000 ,0.000000000 
day_of_reg_월요일,0.000000000 ,0.000000000 
group_s_F,0.000000000 ,0.000000000 
pick_rgn2_nm_도봉구,0.000000000 ,0.000000000 
pick_rgn2_nm_노원구,0.000000000 ,0.000000000 
pick_rgn2_nm_서대문구,0.000000000 ,0.000000000 
pick_rgn2_nm_서초구,0.000000000 ,0.000000000 
pick_rgn2_nm_성동구,0.000000000 ,0.000000000 
pick_rgn2_nm_성북구,0.000000000 ,0.000000000 
pick_rgn2_nm_송파구,0.000000000 ,0.000000000 
pick_rgn2_nm_양천구,0.000000000 ,0.000000000 
pick_rgn2_nm_영등포구,0.000000000 ,0.000000000 
pick_rgn2_nm_용산구,0.000000000 ,0.000000000 
pick_rgn2_nm_은평구,0.000000000 ,0.000000000 
pick_rgn2_nm_종로구,0.000000000 ,0.000000000 
pick_rgn2_nm_중구,0.000000000 ,0.000000000 
pick_rgn2_nm_중랑구,0.000000000 ,0.000000000 
hour_reg_9,0.000000000 ,0.000000000 
hour_reg_10,0.000000000 ,0.000000000 
pick_rgn2_nm_동작구,0.000000000 ,0.000000000 
hour_reg_12,0.000000000 ,0.000000000 
hour_reg_13,0.000000000 ,0.000000000 
hour_reg_14,0.000000000 ,0.000000000 
hour_reg_15,0.000000000 ,0.000000000 
hour_reg_16,0.000000000 ,0.000000000 
hour_reg_17,0.000000000 ,0.000000000 
hour_reg_18,0.000000000 ,0.000000000 
hour_reg_21,0.000000000 ,0.000000000 
hour_reg_22,0.000000000 ,0.000000000 
hour_reg_23,0.000000000 ,0.000000000 
pick_rgn2_nm_동대문구,0.000000000 ,0.000000000 
is_rain_1,0.000000000 ,0.000000000 
is_rain2_0,0.000000000 ,0.000000000 
is_rain2_1,0.000000000 ,0.000000000 
group_s_B,0.000000000 ,0.000000000 
hour_reg_20,0.000000000 ,0.000000000 
