"pick_rgn2_nm","day_of_reg","hour_reg","total_order_cnt","order_cnt_ratio"
"강남구","FRI",9,862,0.02
"강남구","FRI",10,1698,0.04
"강남구","FRI",11,4316,0.1
"강남구","FRI",12,3916,0.09
"강남구","FRI",13,2896,0.07
"강남구","FRI",14,2240,0.05
"강남구","FRI",15,2029,0.05
"강남구","FRI",16,2370,0.06
"강남구","FRI",17,3533,0.08
"강남구","FRI",18,4557,0.11
"강남구","FRI",19,4142,0.1
"강남구","FRI",20,3238,0.08
"강남구","FRI",21,2647,0.06
"강남구","FRI",22,2100,0.05
"강남구","FRI",23,1513,0.04
"강남구","MON",9,782,0.02
"강남구","MON",10,1481,0.04
"강남구","MON",11,3985,0.11
"강남구","MON",12,3650,0.1
"강남구","MON",13,2493,0.07
"강남구","MON",14,1934,0.05
"강남구","MON",15,1710,0.05
"강남구","MON",16,2021,0.05
"강남구","MON",17,2997,0.08
"강남구","MON",18,4209,0.11
"강남구","MON",19,3934,0.11
"강남구","MON",20,2889,0.08
"강남구","MON",21,2098,0.06
"강남구","MON",22,1746,0.05
"강남구","MON",23,1364,0.04
"강남구","SAT",9,959,0.02
"강남구","SAT",10,1771,0.04
"강남구","SAT",11,3669,0.09
"강남구","SAT",12,3873,0.1
"강남구","SAT",13,3139,0.08
"강남구","SAT",14,2461,0.06
"강남구","SAT",15,1971,0.05
"강남구","SAT",16,2383,0.06
"강남구","SAT",17,3252,0.08
"강남구","SAT",18,4056,0.1
"강남구","SAT",19,3906,0.1
"강남구","SAT",20,3163,0.08
"강남구","SAT",21,2539,0.06
"강남구","SAT",22,2059,0.05
"강남구","SAT",23,1494,0.04
"강남구","SUN",9,856,0.02
"강남구","SUN",10,1447,0.04
"강남구","SUN",11,2985,0.08
"강남구","SUN",12,3277,0.09
"강남구","SUN",13,2893,0.08
"강남구","SUN",14,2379,0.06
"강남구","SUN",15,1980,0.05
"강남구","SUN",16,2302,0.06
"강남구","SUN",17,3349,0.09
"강남구","SUN",18,4164,0.11
"강남구","SUN",19,3775,0.1
"강남구","SUN",20,3088,0.08
"강남구","SUN",21,2286,0.06
"강남구","SUN",22,1886,0.05
"강남구","SUN",23,1480,0.04
"강남구","THU",9,1145,0.02
"강남구","THU",10,2562,0.04
"강남구","THU",11,7845,0.13
"강남구","THU",12,5663,0.09
"강남구","THU",13,3524,0.06
"강남구","THU",14,2767,0.05
"강남구","THU",15,2538,0.04
"강남구","THU",16,3020,0.05
"강남구","THU",17,4499,0.08
"강남구","THU",18,6732,0.11
"강남구","THU",19,6504,0.11
"강남구","THU",20,4667,0.08
"강남구","THU",21,3472,0.06
"강남구","THU",22,2769,0.05
"강남구","THU",23,2067,0.03
"강남구","TUE",9,711,0.02
"강남구","TUE",10,1619,0.04
"강남구","TUE",11,4793,0.13
"강남구","TUE",12,3648,0.1
"강남구","TUE",13,2210,0.06
"강남구","TUE",14,1717,0.05
"강남구","TUE",15,1583,0.04
"강남구","TUE",16,2045,0.05
"강남구","TUE",17,2815,0.07
"강남구","TUE",18,4333,0.12
"강남구","TUE",19,4150,0.11
"강남구","TUE",20,2976,0.08
"강남구","TUE",21,2036,0.05
"강남구","TUE",22,1692,0.05
"강남구","TUE",23,1231,0.03
"강남구","WED",9,745,0.02
"강남구","WED",10,1603,0.04
"강남구","WED",11,4808,0.13
"강남구","WED",12,3695,0.1
"강남구","WED",13,2197,0.06
"강남구","WED",14,1745,0.05
"강남구","WED",15,1581,0.04
"강남구","WED",16,2015,0.05
"강남구","WED",17,2857,0.08
"강남구","WED",18,4452,0.12
"강남구","WED",19,4168,0.11
"강남구","WED",20,2886,0.08
"강남구","WED",21,2128,0.06
"강남구","WED",22,1736,0.05
"강남구","WED",23,1261,0.03
"강동구","FRI",9,204,0.01
"강동구","FRI",10,445,0.03
"강동구","FRI",11,1145,0.08
"강동구","FRI",12,1257,0.08
"강동구","FRI",13,964,0.06
"강동구","FRI",14,712,0.05
"강동구","FRI",15,641,0.04
"강동구","FRI",16,865,0.06
"강동구","FRI",17,1359,0.09
"강동구","FRI",18,1982,0.13
"강동구","FRI",19,1833,0.12
"강동구","FRI",20,1349,0.09
"강동구","FRI",21,1151,0.08
"강동구","FRI",22,762,0.05
"강동구","FRI",23,502,0.03
"강동구","MON",9,167,0.01
"강동구","MON",10,400,0.03
"강동구","MON",11,971,0.08
"강동구","MON",12,1121,0.09
"강동구","MON",13,761,0.06
"강동구","MON",14,604,0.05
"강동구","MON",15,538,0.04
"강동구","MON",16,656,0.05
"강동구","MON",17,1092,0.09
"강동구","MON",18,1690,0.14
"강동구","MON",19,1541,0.13
"강동구","MON",20,1080,0.09
"강동구","MON",21,784,0.06
"강동구","MON",22,550,0.04
"강동구","MON",23,304,0.02
"강동구","SAT",9,225,0.01
"강동구","SAT",10,563,0.04
"강동구","SAT",11,1239,0.08
"강동구","SAT",12,1433,0.09
"강동구","SAT",13,1084,0.07
"강동구","SAT",14,901,0.06
"강동구","SAT",15,796,0.05
"강동구","SAT",16,896,0.06
"강동구","SAT",17,1446,0.09
"강동구","SAT",18,1874,0.12
"강동구","SAT",19,1757,0.11
"강동구","SAT",20,1298,0.08
"강동구","SAT",21,1077,0.07
"강동구","SAT",22,747,0.05
"강동구","SAT",23,506,0.03
"강동구","SUN",9,248,0.02
"강동구","SUN",10,559,0.04
"강동구","SUN",11,1243,0.08
"강동구","SUN",12,1353,0.09
"강동구","SUN",13,1199,0.08
"강동구","SUN",14,944,0.06
"강동구","SUN",15,773,0.05
"강동구","SUN",16,908,0.06
"강동구","SUN",17,1473,0.1
"강동구","SUN",18,1898,0.12
"강동구","SUN",19,1607,0.1
"강동구","SUN",20,1245,0.08
"강동구","SUN",21,946,0.06
"강동구","SUN",22,628,0.04
"강동구","SUN",23,446,0.03
"강동구","THU",9,202,0.01
"강동구","THU",10,469,0.03
"강동구","THU",11,1218,0.07
"강동구","THU",12,1251,0.07
"강동구","THU",13,859,0.05
"강동구","THU",14,681,0.04
"강동구","THU",15,659,0.04
"강동구","THU",16,755,0.04
"강동구","THU",17,1409,0.08
"강동구","THU",18,2288,0.14
"강동구","THU",19,2453,0.15
"강동구","THU",20,1737,0.1
"강동구","THU",21,1306,0.08
"강동구","THU",22,1013,0.06
"강동구","THU",23,580,0.03
"강동구","TUE",9,127,0.01
"강동구","TUE",10,244,0.03
"강동구","TUE",11,744,0.08
"강동구","TUE",12,716,0.07
"강동구","TUE",13,509,0.05
"강동구","TUE",14,341,0.04
"강동구","TUE",15,358,0.04
"강동구","TUE",16,467,0.05
"강동구","TUE",17,802,0.08
"강동구","TUE",18,1348,0.14
"강동구","TUE",19,1405,0.15
"강동구","TUE",20,982,0.1
"강동구","TUE",21,677,0.07
"강동구","TUE",22,519,0.05
"강동구","TUE",23,313,0.03
"강동구","WED",9,124,0.01
