reg_date,hour_reg,day_of_reg,pick_rgn1_nm,pick_rgn2_nm,rider_cnt,order_cnt,month,week,rider_cnt_w_1,order_cnt_w_1,is_holiday2,date_2,hour,rain_c,snow_c,is_rain,rider_cnt_w_2,rider_cnt_w_3,rider_cnt_w_4,order_cnt_w_2,order_cnt_w_3,order_cnt_w_4,group_s
2023-05-27,9,토요일,서울특별시,강남구,234,545,5,3,234,545,1,,,0.0,0.0,1,204.0,229.0,204.0,510.0,482.0,457.0,H
2023-05-27,10,토요일,서울특별시,강남구,465,970,5,3,465,970,1,,,0.0,0.0,1,468.0,419.0,,987.0,880.0,,H
2023-05-27,11,토요일,서울특별시,강남구,800,1935,5,3,800,1935,1,,,0.0,0.0,1,714.0,704.0,695.0,1937.0,1737.0,1724.0,H
2023-05-27,12,토요일,서울특별시,강남구,801,2035,5,3,801,2035,1,,,0.0,0.0,1,720.0,752.0,756.0,2043.0,1824.0,1844.0,H
2023-05-27,13,토요일,서울특별시,강남구,729,1716,5,3,729,1716,1,,,0.0,0.0,1,722.0,640.0,634.0,1598.0,1458.0,1418.0,H
2023-05-27,14,토요일,서울특별시,강남구,527,1272,5,3,527,1272,1,,,0.0,0.0,1,546.0,,,1289.0,,,H
2023-05-27,15,토요일,서울특별시,강남구,464,1052,5,3,464,1052,1,,,0.0,0.0,1,506.0,,,1157.0,,,H
2023-05-27,16,토요일,서울특별시,강남구,553,1229,5,3,553,1229,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,17,토요일,서울특별시,강남구,763,1746,5,3,763,1746,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,18,토요일,서울특별시,강남구,887,2078,5,3,887,2078,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,19,토요일,서울특별시,강남구,889,2121,5,3,889,2121,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,20,토요일,서울특별시,강남구,696,1753,5,3,696,1753,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,21,토요일,서울특별시,강남구,577,1415,5,3,577,1415,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,22,토요일,서울특별시,강남구,494,1203,5,3,494,1203,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,23,토요일,서울특별시,강남구,378,855,5,3,378,855,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,9,토요일,서울특별시,강동구,68,133,5,3,68,133,1,,,0.0,0.0,1,57.0,67.0,55.0,113.0,130.0,120.0,H
2023-05-27,10,토요일,서울특별시,강동구,135,301,5,3,135,301,1,,,0.0,0.0,1,138.0,126.0,,324.0,277.0,,H
2023-05-27,11,토요일,서울특별시,강동구,230,618,5,3,230,618,1,,,0.0,0.0,1,219.0,235.0,215.0,656.0,652.0,540.0,H
2023-05-27,12,토요일,서울특별시,강동구,285,769,5,3,285,769,1,,,0.0,0.0,1,252.0,265.0,233.0,779.0,686.0,642.0,H
2023-05-27,13,토요일,서울특별시,강동구,238,616,5,3,238,616,1,,,0.0,0.0,1,242.0,236.0,198.0,562.0,563.0,498.0,H
2023-05-27,14,토요일,서울특별시,강동구,170,452,5,3,170,452,1,,,0.0,0.0,1,203.0,,,472.0,,,H
2023-05-27,15,토요일,서울특별시,강동구,164,431,5,3,164,431,1,,,0.0,0.0,1,160.0,,,375.0,,,H
2023-05-27,16,토요일,서울특별시,강동구,199,470,5,3,199,470,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,17,토요일,서울특별시,강동구,272,717,5,3,272,717,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,18,토요일,서울특별시,강동구,361,997,5,3,361,997,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,19,토요일,서울특별시,강동구,368,974,5,3,368,974,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,20,토요일,서울특별시,강동구,287,759,5,3,287,759,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,21,토요일,서울특별시,강동구,222,578,5,3,222,578,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,22,토요일,서울특별시,강동구,189,490,5,3,189,490,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,23,토요일,서울특별시,강동구,131,303,5,3,131,303,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,9,토요일,서울특별시,강북구,57,83,5,3,57,83,1,,,0.0,0.0,1,30.0,44.0,45.0,61.0,59.0,76.0,H
2023-05-27,10,토요일,서울특별시,강북구,105,178,5,3,105,178,1,,,0.0,0.0,1,87.0,87.0,,150.0,125.0,,H
2023-05-27,11,토요일,서울특별시,강북구,195,350,5,3,195,350,1,,,0.0,0.0,1,148.0,153.0,164.0,298.0,283.0,332.0,H
2023-05-27,12,토요일,서울특별시,강북구,196,390,5,3,196,390,1,,,0.0,0.0,1,155.0,171.0,172.0,330.0,329.0,329.0,H
2023-05-27,13,토요일,서울특별시,강북구,195,378,5,3,195,378,1,,,0.0,0.0,1,155.0,166.0,152.0,318.0,307.0,291.0,H
2023-05-27,14,토요일,서울특별시,강북구,161,293,5,3,161,293,1,,,0.0,0.0,1,144.0,,,260.0,,,H
2023-05-27,15,토요일,서울특별시,강북구,132,256,5,3,132,256,1,,,0.0,0.0,1,135.0,,,270.0,,,H
2023-05-27,16,토요일,서울특별시,강북구,185,317,5,3,185,317,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,17,토요일,서울특별시,강북구,231,426,5,3,231,426,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,18,토요일,서울특별시,강북구,263,550,5,3,263,550,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,19,토요일,서울특별시,강북구,280,576,5,3,280,576,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,20,토요일,서울특별시,강북구,253,500,5,3,253,500,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,21,토요일,서울특별시,강북구,186,378,5,3,186,378,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,22,토요일,서울특별시,강북구,156,307,5,3,156,307,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,23,토요일,서울특별시,강북구,113,214,5,3,113,214,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,9,토요일,서울특별시,강서구,147,311,5,3,147,311,1,,,0.0,0.0,1,115.0,124.0,114.0,252.0,221.0,210.0,H
2023-05-27,10,토요일,서울특별시,강서구,283,548,5,3,283,548,1,,,0.0,0.0,1,235.0,218.0,,525.0,428.0,,H
2023-05-27,11,토요일,서울특별시,강서구,446,1139,5,3,446,1139,1,,,0.0,0.0,1,391.0,384.0,374.0,1017.0,936.0,886.0,H
2023-05-27,12,토요일,서울특별시,강서구,467,1184,5,3,467,1184,1,,,0.0,0.0,1,455.0,411.0,402.0,1164.0,979.0,977.0,H
2023-05-27,13,토요일,서울특별시,강서구,422,1022,5,3,422,1022,1,,,0.0,0.0,1,446.0,384.0,376.0,997.0,809.0,846.0,H
2023-05-27,14,토요일,서울특별시,강서구,372,872,5,3,372,872,1,,,0.0,0.0,1,375.0,,,825.0,,,H
2023-05-27,15,토요일,서울특별시,강서구,297,645,5,3,297,645,1,,,0.0,0.0,1,269.0,,,587.0,,,H
2023-05-27,16,토요일,서울특별시,강서구,372,760,5,3,372,760,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,17,토요일,서울특별시,강서구,498,1140,5,3,498,1140,1,,,0.0,0.0,1,,,,,,,H
2023-05-27,18,토요일,서울특별시,강서구,602,1596,5,3,602,1596,1,,,0.0,0.0,1,,,,,,,H
