"holiday_yn","pick_rgn2_nm","rider_cnt","datetime","hour_reg","reg_date","day_of_reg","rain_group","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1","group_s"
"Y","중구",5,2023-01-08 09:00:00,9,2023-01-08,"일요일","no",5,5,5,5,6,"E"
"Y","중구",6,2023-01-08 10:00:00,10,2023-01-08,"일요일","no",3,3,3,3,3,"E"
"Y","중구",26,2023-01-08 11:00:00,11,2023-01-08,"일요일","no",17,17,17,17,22,"E"
"Y","중구",36,2023-01-08 12:00:00,12,2023-01-08,"일요일","no",20,20,20,20,30,"E"
"Y","중구",29,2023-01-08 13:00:00,13,2023-01-08,"일요일","no",20,20,20,20,26,"E"
"Y","중구",21,2023-01-08 14:00:00,14,2023-01-08,"일요일","no",17,17,17,17,26,"E"
"Y","중구",17,2023-01-08 15:00:00,15,2023-01-08,"일요일","no",12,12,12,12,12,"E"
"Y","중구",23,2023-01-08 16:00:00,16,2023-01-08,"일요일","no",19,19,19,19,29,"E"
"Y","중구",24,2023-01-08 17:00:00,17,2023-01-08,"일요일","no",28,28,28,28,42,"E"
"Y","중구",34,2023-01-08 18:00:00,18,2023-01-08,"일요일","no",27,27,27,27,41,"E"
"Y","중구",28,2023-01-08 19:00:00,19,2023-01-08,"일요일","no",25,25,25,25,33,"E"
"Y","중구",22,2023-01-08 20:00:00,20,2023-01-08,"일요일","no",22,22,22,22,31,"E"
"Y","중구",12,2023-01-08 21:00:00,21,2023-01-08,"일요일","no",16,16,16,16,18,"E"
"Y","중구",8,2023-01-08 22:00:00,22,2023-01-08,"일요일","no",12,12,12,12,17,"E"
"Y","중구",5,2023-01-08 23:00:00,23,2023-01-08,"일요일","no",5,5,5,5,8,"E"
"N","중구",3,2023-01-09 09:00:00,9,2023-01-09,"월요일","no",3,3,3,3,3,"A"
"N","중구",10,2023-01-09 10:00:00,10,2023-01-09,"월요일","no",5,5,5,5,6,"A"
"N","중구",24,2023-01-09 11:00:00,11,2023-01-09,"월요일","no",21,21,21,21,33,"A"
"N","중구",21,2023-01-09 12:00:00,12,2023-01-09,"월요일","no",19,19,19,19,24,"A"
"N","중구",16,2023-01-09 13:00:00,13,2023-01-09,"월요일","no",16,16,16,16,21,"A"
"N","중구",12,2023-01-09 14:00:00,14,2023-01-09,"월요일","no",13,13,13,13,14,"A"
"N","중구",10,2023-01-09 15:00:00,15,2023-01-09,"월요일","no",12,12,12,12,14,"A"
"N","중구",11,2023-01-09 16:00:00,16,2023-01-09,"월요일","no",12,12,12,12,14,"A"
"N","중구",20,2023-01-09 17:00:00,17,2023-01-09,"월요일","no",16,16,16,16,19,"A"
"N","중구",27,2023-01-09 18:00:00,18,2023-01-09,"월요일","no",24,24,24,24,30,"A"
"N","중구",27,2023-01-09 19:00:00,19,2023-01-09,"월요일","no",25,25,25,25,34,"A"
"N","중구",19,2023-01-09 20:00:00,20,2023-01-09,"월요일","no",17,17,17,17,22,"A"
"N","중구",16,2023-01-09 21:00:00,21,2023-01-09,"월요일","no",12,12,12,12,17,"A"
"N","중구",8,2023-01-09 22:00:00,22,2023-01-09,"월요일","no",12,12,12,12,15,"A"
"N","중구",5,2023-01-09 23:00:00,23,2023-01-09,"월요일","no",8,8,8,8,8,"A"
"N","중구",1,2023-01-10 09:00:00,9,2023-01-10,"화요일","no",4,4,4,4,7,"A"
"N","중구",2,2023-01-10 10:00:00,10,2023-01-10,"화요일","no",7,7,7,7,8,"A"
"N","중구",20,2023-01-10 11:00:00,11,2023-01-10,"화요일","no",24,24,24,24,33,"A"
"N","중구",18,2023-01-10 12:00:00,12,2023-01-10,"화요일","no",26,26,26,26,35,"A"
"N","중구",10,2023-01-10 13:00:00,13,2023-01-10,"화요일","no",16,16,16,16,22,"A"
"N","중구",11,2023-01-10 14:00:00,14,2023-01-10,"화요일","no",11,11,11,11,14,"A"
"N","중구",9,2023-01-10 15:00:00,15,2023-01-10,"화요일","no",7,7,7,7,9,"A"
"N","중구",14,2023-01-10 16:00:00,16,2023-01-10,"화요일","no",14,14,14,14,16,"A"
"N","중구",13,2023-01-10 17:00:00,17,2023-01-10,"화요일","no",27,27,27,27,34,"A"
"N","중구",28,2023-01-10 18:00:00,18,2023-01-10,"화요일","no",29,29,29,29,41,"A"
"N","중구",27,2023-01-10 19:00:00,19,2023-01-10,"화요일","no",27,27,27,27,39,"A"
"N","중구",24,2023-01-10 20:00:00,20,2023-01-10,"화요일","no",18,18,18,18,20,"A"
"N","중구",16,2023-01-10 21:00:00,21,2023-01-10,"화요일","no",15,15,15,15,17,"A"
"N","중구",11,2023-01-10 22:00:00,22,2023-01-10,"화요일","no",14,14,14,14,20,"A"
"N","중구",7,2023-01-10 23:00:00,23,2023-01-10,"화요일","no",4,4,4,4,4,"A"
"N","중구",1,2023-01-11 09:00:00,9,2023-01-11,"수요일","no",3,3,3,3,4,"A"
"N","중구",9,2023-01-11 10:00:00,10,2023-01-11,"수요일","no",8,8,8,8,9,"A"
"N","중구",27,2023-01-11 11:00:00,11,2023-01-11,"수요일","no",24,24,24,24,36,"A"
"N","중구",23,2023-01-11 12:00:00,12,2023-01-11,"수요일","no",21,21,21,21,24,"A"
