feature,perm_importance_train,perm_importance_test
rider_cnt_w_1,0.07940342228777637,0.0758651679711883
rider_cnt_w_4,0.048806685706237786,0.049198455401837225
rider_cnt_w_2,0.017289304663716143,0.016779138886744472
rider_cnt_w_3,0.010829901503930994,0.009746135265652179
group_s_C,0.0015827881496660145,0.001971857271578892
group_s_G,0.0013140696455833823,0.004561473554550277
is_holiday_0,0.0012446955666537418,0.0008259458745525583
is_holiday_1,0.001162684120269497,0.0007463452742900278
group_s_D,0.0011516011894625588,-6.250862612056096e-05
snow_c,0.0005420676329954022,0.00017979101247995733
month_3,0.0004981983049932914,5.714351010932539e-05
pick_rgn2_nm_강남구,0.0004384234197069237,0.000462403446855908
order_cnt_w_1,0.00029824967736513663,0.00019275775901839154
hour_reg_11,0.00026025714426667344,-7.237297543460919e-06
rain_c,0.00022757116453600012,-3.000117087648135e-07
day_of_reg_금요일,0.00010264171829410529,2.4467078420387088e-05
month_2,0.000102635602929535,4.9279818871239554e-05
month_9,9.639722625511826e-05,0.0
is_rain_1,9.53425978768463e-05,-2.086233998368492e-05
is_rain_0,9.162691344313245e-05,-3.320042955281544e-05
is_weekend_1,8.777907014831943e-05,1.19346673469245e-05
is_weekend_0,8.512164560690039e-05,1.954394963674666e-05
hour_reg_13,8.01338995255918e-05,5.255261820713564e-05
pick_rgn2_nm_관악구,7.43055494492495e-05,4.546297172327574e-05
day_of_reg_화요일,6.45436267064925e-05,6.65186308581589e-06
hour_reg_14,6.409047391908729e-05,5.294593270286363e-05
month_1,5.611530764837447e-05,8.079258094766395e-05
group_s_H,4.50920391380949e-05,-1.7549143001005518e-06
day_of_reg_수요일,3.602523053287676e-05,1.7082095349763014e-05
month_4,3.1736928948866705e-05,5.56614882210038e-06
group_s_B,3.1026694275171354e-05,1.9208889891597634e-06
day_of_reg_월요일,2.9366100059302623e-05,3.649618979584268e-06
hour_reg_17,2.7697015027539074e-05,8.483011888538172e-06
month_6,2.716374622178108e-05,0.0
hour_reg_22,2.700064722760409e-05,4.45319873696004e-05
hour_reg_12,2.48669327364448e-05,7.99841255114675e-06
pick_rgn2_nm_송파구,2.469255149371019e-05,9.265776813882632e-06
hour_reg_19,1.9717235279492762e-05,3.9858289087924e-06
rain_group_weak,1.9483412134468913e-05,-4.949577958934803e-06
hour_reg_23,1.8550543666040474e-05,2.8812832140667765e-05
rain_group_no,1.7884450822669428e-05,-1.8426221883638404e-06
month_12,1.5374074951401973e-05,0.0
pick_rgn2_nm_강서구,1.4905484154703608e-05,8.99719704572366e-06
hour_reg_20,1.3313300311956766e-05,3.2031046842906364e-06
day_of_reg_토요일,1.235046572645171e-05,1.1393126573966405e-05
group_s_A,1.2267789748299229e-05,6.4844619142911956e-06
pick_rgn2_nm_영등포구,1.169963417648745e-05,5.328986688990511e-06
hour_reg_21,1.1178715185433674e-05,8.57868029111586e-06
rain_group_normal,1.0748434076823798e-05,-1.6013621109145504e-07
month_7,1.0590981311042747e-05,0.0
hour_reg_15,1.0532408376051627e-05,7.36559045197982e-06
hour_reg_18,1.0231765544976845e-05,7.0251076167870964e-06
day_of_reg_일요일,1.00553032236661e-05,4.151658044260209e-06
is_rain2_0,9.901246004395681e-06,-7.951969055941532e-06
group_s_E,9.106984385476303e-06,4.891575144694294e-06
pick_rgn2_nm_중구,7.730570665742675e-06,6.1868196911119e-06
hour_reg_16,7.618731420322433e-06,7.518125721550639e-06
is_rain2_1,6.972409438454897e-06,-8.21983350876021e-06
pick_rgn2_nm_서초구,6.556467719698311e-06,2.7306184068542906e-06
month_5,6.436140297938486e-06,-2.120233562519225e-06
day_of_reg_목요일,5.842366562425205e-06,-1.1550808265647917e-06
month_8,4.600580651015207e-06,0.0
pick_rgn2_nm_도봉구,4.449912640147602e-06,3.1753286479307975e-06
group_s_F,3.850579063580107e-06,1.0428828281838775e-06
pick_rgn2_nm_마포구,3.53573020392961e-06,2.0358389184016444e-06
month_10,3.3131019309351474e-06,0.0
month_11,3.3113683371555068e-06,0.0
hour_reg_10,2.801594654111561e-06,3.4955289878180197e-07
pick_rgn2_nm_종로구,2.5930579153898847e-06,2.4920737913713966e-06
pick_rgn2_nm_동작구,2.4070058769476432e-06,2.7107156297390134e-09
rain_group_strong,1.8537769969517725e-06,-9.336059481057647e-10
pick_rgn2_nm_성동구,1.2435082332284964e-06,4.404539827973508e-07
pick_rgn2_nm_구로구,1.0633672736570786e-06,6.911389668129431e-07
pick_rgn2_nm_광진구,9.101920524834384e-07,2.1504156755280945e-07
pick_rgn2_nm_성북구,7.960403448858955e-07,-1.8132215926502936e-07
pick_rgn2_nm_양천구,7.908790877309003e-07,-6.718783083226043e-08
pick_rgn2_nm_강북구,7.649762798322968e-07,-6.693688003878151e-09
pick_rgn2_nm_금천구,6.291311215322892e-07,2.0111193788086013e-07
pick_rgn2_nm_중랑구,6.193694888079193e-07,9.586976334130527e-07
pick_rgn2_nm_용산구,5.526893102292263e-07,5.356987505589217e-07
pick_rgn2_nm_노원구,5.477398045572456e-07,5.3742488592689595e-08
pick_rgn2_nm_동대문구,4.958663043508338e-07,-7.479999153403582e-09
pick_rgn2_nm_은평구,4.831721921672027e-07,4.593138221098414e-07
hour_reg_9,3.4975833418382507e-07,2.3196431790939443e-07
pick_rgn2_nm_서대문구,2.741900039238132e-07,-1.8852718204342976e-07
pick_rgn2_nm_강동구,2.716247300860175e-07,1.3492436008455399e-07
rain_group_very_strong,1.1967762354458954e-07,0.0
