feature,perm_importance_train,perm_importance_test
rider_cnt_w_1,0.163410366,0.162524354
rider_cnt_w_4,0.1289725,0.12664223
rider_cnt_w_2,0.116229284,0.115970556
rider_cnt_w_3,0.079342338,0.077476562
order_cnt_w_1,0.001457818,0.001134268
group_s_D,0.000766384,0.000173647
group_s_C,0.000452185,0.000463948
rain_group_no,0.00032986,-3.88E-05
holiday_yn_N,0.000244761,0.000170338
pick_rgn2_nm_강남구,0.000221333,0.000109579
hour_reg_11,0.000206533,4.64E-05
day_of_reg_금요일,0.000134407,2.22E-05
rain_group_normal,6.09E-05,-2.46E-05
day_of_reg_월요일,5.50E-05,-7.72E-06
is_crm_0,4.58E-05,-3.62E-05
holiday_yn_Y,4.51E-05,6.82E-06
group_s_B,2.97E-05,-1.70E-06
group_s_E,2.53E-05,1.76E-05
group_s_A,1.25E-05,8.89E-06
day_of_reg_일요일,1.04E-05,-6.40E-07
pick_rgn2_nm_광진구,0,0
hour_reg_19,0,0
hour_reg_20,0,0
hour_reg_21,0,0
hour_reg_22,0,0
hour_reg_23,0,0
pick_rgn2_nm_강서구,0,0
pick_rgn2_nm_강북구,0,0
is_crm_1,0,0
group_s_F,0,0
hour_reg_17,0,0
pick_rgn2_nm_강동구,0,0
rain_group_strong,0,0
rain_group_very_strong,0,0
rain_group_weak,0,0
day_of_reg_화요일,0,0
day_of_reg_토요일,0,0
day_of_reg_수요일,0,0
hour_reg_18,0,0
hour_reg_16,0,0
pick_rgn2_nm_구로구,0,0
pick_rgn2_nm_양천구,0,0
pick_rgn2_nm_금천구,0,0
pick_rgn2_nm_노원구,0,0
pick_rgn2_nm_도봉구,0,0
pick_rgn2_nm_동대문구,0,0
pick_rgn2_nm_동작구,0,0
pick_rgn2_nm_마포구,0,0
pick_rgn2_nm_서대문구,0,0
pick_rgn2_nm_서초구,0,0
pick_rgn2_nm_성동구,0,0
pick_rgn2_nm_성북구,0,0
pick_rgn2_nm_송파구,0,0
pick_rgn2_nm_영등포구,0,0
hour_reg_15,0,0
pick_rgn2_nm_용산구,0,0
pick_rgn2_nm_은평구,0,0
pick_rgn2_nm_종로구,0,0
pick_rgn2_nm_중구,0,0
pick_rgn2_nm_중랑구,0,0
hour_reg_9,0,0
day_of_reg_목요일,0,0
pick_rgn2_nm_관악구,0,0
hour_reg_12,0,0
hour_reg_13,0,0
hour_reg_14,0,0
hour_reg_10,0,0
