reg_date,hour_reg,holiday_yn,pick_rgn1_nm,pick_rgn2_nm,rider_cnt,order_cnt,week,day_of_reg,rider_cnt_w_1,order_cnt_w_1,date_2,hour,rain_c,snow_c,is_rain,group_s,rain_group,rider_cnt_w_2,rider_cnt_w_3,rider_cnt_w_4
2023-06-09,9,0,서울특별시,강남구,203,461,1,금요일,203,461,,,0.0,0.0,1,B,no,178.0,183.0,194.0
2023-06-09,10,0,서울특별시,강남구,448,858,1,금요일,448,858,,,0.0,0.0,1,B,no,437.0,485.0,485.0
2023-06-09,11,0,서울특별시,강남구,938,2767,1,금요일,938,2767,,,0.0,0.0,1,B,no,935.0,942.0,942.0
2023-06-09,12,0,서울특별시,강남구,866,1931,1,금요일,866,1931,,,0.0,0.0,1,B,no,864.0,954.0,954.0
2023-06-09,13,0,서울특별시,강남구,596,1419,1,금요일,596,1419,,,0.0,0.0,1,B,no,588.0,588.0,588.0
2023-06-09,14,0,서울특별시,강남구,442,1047,1,금요일,442,1047,,,0.0,0.0,1,B,no,429.0,429.0,429.0
2023-06-09,15,0,서울특별시,강남구,464,1184,1,금요일,464,1184,,,0.0,0.0,1,B,no,376.0,407.0,407.0
2023-06-09,16,0,서울특별시,강남구,509,1163,1,금요일,509,1163,,,0.0,0.0,1,B,no,454.0,454.0,454.0
2023-06-09,17,0,서울특별시,강남구,717,1700,1,금요일,717,1700,,,0.0,0.0,1,B,no,691.0,691.0,691.0
2023-06-09,18,0,서울특별시,강남구,927,2400,1,금요일,927,2400,,,0.0,0.0,1,B,no,901.0,947.0,947.0
2023-06-09,19,0,서울특별시,강남구,926,2403,1,금요일,926,2403,,,0.0,0.0,1,B,no,871.0,871.0,871.0
2023-06-09,20,0,서울특별시,강남구,722,1866,1,금요일,722,1866,,,0.0,0.0,1,B,no,717.0,717.0,717.0
2023-06-09,21,0,서울특별시,강남구,564,1427,1,금요일,564,1427,,,0.0,0.0,1,B,no,503.0,514.0,514.0
2023-06-09,22,0,서울특별시,강남구,466,1115,1,금요일,466,1115,,,0.0,0.0,1,B,no,442.0,442.0,442.0
2023-06-09,23,0,서울특별시,강남구,367,823,1,금요일,367,823,,,0.0,0.0,1,B,no,363.0,373.0,373.0
2023-06-08,9,0,서울특별시,강남구,190,433,1,목요일,190,433,,,0.0,0.0,0,A,no,199.0,196.0,196.0
2023-06-08,10,0,서울특별시,강남구,416,802,1,목요일,416,802,,,0.0,0.0,0,A,no,467.0,467.0,478.0
2023-06-08,11,0,서울특별시,강남구,905,2694,1,목요일,905,2694,,,0.0,0.0,0,A,no,943.0,990.0,957.0
2023-06-08,12,0,서울특별시,강남구,869,1945,1,목요일,869,1945,,,0.0,0.0,0,A,no,905.0,927.0,862.0
2023-06-08,13,0,서울특별시,강남구,532,1166,1,목요일,532,1166,,,0.0,0.0,0,A,no,561.0,571.0,536.0
2023-06-08,14,0,서울특별시,강남구,391,924,1,목요일,391,924,,,0.0,0.0,0,A,no,412.0,432.0,397.0
2023-06-08,15,0,서울특별시,강남구,447,1153,1,목요일,447,1153,,,0.0,0.0,0,A,no,416.0,418.0,362.0
2023-06-08,16,0,서울특별시,강남구,534,1376,1,목요일,534,1376,,,0.0,0.0,0,A,no,543.0,487.0,466.0
2023-06-08,17,0,서울특별시,강남구,712,1663,1,목요일,712,1663,,,0.0,0.0,0,A,no,741.0,748.0,688.0
2023-06-08,18,0,서울특별시,강남구,895,2429,1,목요일,895,2429,,,0.0,0.0,0,A,no,934.0,954.0,891.0
2023-06-08,19,0,서울특별시,강남구,878,2271,1,목요일,878,2271,,,0.0,0.0,0,A,no,956.0,946.0,894.0
2023-06-08,20,0,서울특별시,강남구,666,1594,1,목요일,666,1594,,,0.0,0.0,0,A,no,707.0,689.0,656.0
2023-06-08,21,0,서울특별시,강남구,499,1286,1,목요일,499,1286,,,0.0,0.0,0,A,no,511.0,511.0,482.0
2023-06-08,22,0,서울특별시,강남구,413,1037,1,목요일,413,1037,,,0.0,0.0,0,A,no,425.0,408.0,372.0
2023-06-08,23,0,서울특별시,강남구,307,723,1,목요일,307,723,,,0.0,0.0,0,A,no,319.0,321.0,308.0
2023-06-07,9,0,서울특별시,강남구,165,363,5,수요일,165,363,,,0.0,0.0,0,A,no,203.0,181.0,195.0
2023-06-07,10,0,서울특별시,강남구,412,840,5,수요일,412,840,,,0.0,0.0,0,A,no,442.0,483.0,422.0
2023-06-07,11,0,서울특별시,강남구,856,2583,5,수요일,856,2583,,,0.0,0.0,0,A,no,959.0,956.0,891.0
2023-06-07,12,0,서울특별시,강남구,818,1934,5,수요일,818,1934,,,0.0,0.0,0,A,no,892.0,899.0,836.0
2023-06-07,13,0,서울특별시,강남구,510,1215,5,수요일,510,1215,,,0.0,0.0,0,A,no,553.0,567.0,501.0
2023-06-07,14,0,서울특별시,강남구,347,821,5,수요일,347,821,,,0.0,0.0,0,A,no,385.0,383.0,388.0
2023-06-07,15,0,서울특별시,강남구,401,1131,5,수요일,401,1131,,,0.0,0.0,0,A,no,419.0,367.0,339.0
