"date","hour_reg","pick_rgn2_nm","order_cnt","day_of_reg","order_cnt_ratio","order_cnt_predict"
2023-05-15,9,"강남구",20872.5105706321,"월요일",0.02,417
2023-05-15,9,"서초구",10582.1421559666,"월요일",0.02,212
2023-05-15,9,"강동구",6255.75092547285,"월요일",0.01,63
2023-05-15,9,"송파구",15359.7394163208,"월요일",0.02,307
2023-05-15,9,"강북구",4049.86075888834,"월요일",0.01,40
2023-05-15,9,"광진구",6371.82048064595,"월요일",0.01,64
2023-05-15,9,"노원구",6191.90074793214,"월요일",0.01,62
2023-05-15,9,"도봉구",3442.01082482987,"월요일",0.01,34
2023-05-15,9,"동대문구",7024.31396513945,"월요일",0.01,70
2023-05-15,9,"성동구",6937.20809317881,"월요일",0.01,69
2023-05-15,9,"성북구",8295.75870029974,"월요일",0.01,83
2023-05-15,9,"중랑구",4707.57984080416,"월요일",0.01,47
2023-05-15,9,"강서구",10874.2107380676,"월요일",0.02,217
2023-05-15,9,"관악구",16552.0876276622,"월요일",0.02,331
2023-05-15,9,"구로구",6213.05866706665,"월요일",0.01,62
2023-05-15,9,"금천구",5227.06712137827,"월요일",0.01,52
2023-05-15,9,"동작구",8906.92967153402,"월요일",0.01,89
2023-05-15,9,"양천구",6778.17759620055,"월요일",0.01,68
2023-05-15,9,"영등포구",10837.537185382,"월요일",0.02,217
2023-05-15,9,"마포구",11383.5567392,"월요일",0.02,228
2023-05-15,9,"서대문구",7378.25408468582,"월요일",0.01,74
2023-05-15,9,"용산구",5708.78815017784,"월요일",0.02,114
2023-05-15,9,"은평구",6000.77704041226,"월요일",0.01,60
2023-05-15,9,"종로구",4556.17018129014,"월요일",0.02,91
2023-05-15,9,"중구",4527.39273858571,"월요일",0.02,91
2023-05-16,9,"강남구",21173.2100775298,"화요일",0.02,423
2023-05-16,9,"서초구",10007.744133742,"화요일",0.02,200
2023-05-16,9,"강동구",5353.83809974251,"화요일",0.01,54
2023-05-16,9,"송파구",13362.3135812445,"화요일",0.01,134
2023-05-16,9,"강북구",3495.02480448851,"화요일",0.01,35
2023-05-16,9,"광진구",5531.30596501719,"화요일",0.01,55
2023-05-16,9,"노원구",5500.84809036671,"화요일",0.01,55
2023-05-16,9,"도봉구",2920.10863952255,"화요일",0.01,29
2023-05-16,9,"동대문구",6418.11885711179,"화요일",0.01,64
2023-05-16,9,"성동구",6479.75037066557,"화요일",0.01,65
2023-05-16,9,"성북구",7403.37012384043,"화요일",0.01,74
2023-05-16,9,"중랑구",4062.28646768737,"화요일",0.01,41
2023-05-16,9,"강서구",9510.68128895753,"화요일",0.02,190
2023-05-16,9,"관악구",14190.368264702,"화요일",0.02,284
2023-05-16,9,"구로구",5393.73622715806,"화요일",0.01,54
2023-05-16,9,"금천구",4515.74095101765,"화요일",0.01,45
2023-05-16,9,"동작구",7887.17846033084,"화요일",0.01,79
2023-05-16,9,"양천구",6135.82835883502,"화요일",0.01,61
2023-05-16,9,"영등포구",9613.22822522487,"화요일",0.01,96
