"","rgn1_nm","r2","coef","range"
"(Intercept)","강원도",0.592093076498152,-5.64005616736868,0.187549490827471
"rider_cnt","강원도",0.592093076498152,-0.00248230248209146,0.187549490827471
"ord_cnt","강원도",0.592093076498152,0.000185674368248382,0.187549490827471
"weekday목요일","강원도",0.592093076498152,-0.0213686682356457,0.187549490827471
"weekday수요일","강원도",0.592093076498152,-0.000379344190785993,0.187549490827471
"weekday월요일","강원도",0.592093076498152,-0.0618861915724492,0.187549490827471
"weekday일요일","강원도",0.592093076498152,0.0236344647063492,0.187549490827471
"weekday토요일","강원도",0.592093076498152,0.12314853932106,0.187549490827471
"weekday화요일","강원도",0.592093076498152,-0.0212261729257111,0.187549490827471
"mean_fee","강원도",0.592093076498152,0.00116629656492147,0.187549490827471
"(Intercept)1","경기도",0.907914827036967,-1.2433859368836,0.6848828894154
"rider_cnt1","경기도",0.907914827036967,-0.0015674470454082,0.6848828894154
"ord_cnt1","경기도",0.907914827036967,0.0000749953822887665,0.6848828894154
"weekday목요일1","경기도",0.907914827036967,-0.416748093059236,0.6848828894154
"weekday수요일1","경기도",0.907914827036967,-0.714693652503454,0.6848828894154
"weekday월요일1","경기도",0.907914827036967,-0.55578507128395,0.6848828894154
"weekday일요일1","경기도",0.907914827036967,-1.45303147908094,0.6848828894154
"weekday토요일1","경기도",0.907914827036967,-1.14929469750847,0.6848828894154
"weekday화요일1","경기도",0.907914827036967,-0.24004206373915,0.6848828894154
"mean_fee1","경기도",0.907914827036967,0.00232621786067632,0.6848828894154
"(Intercept)2","경상남도",0.885551663085994,-7.61154099978979,0.263007158617138
"rider_cnt2","경상남도",0.885551663085994,-0.00591053538147687,0.263007158617138
"ord_cnt2","경상남도",0.885551663085994,0.000452545048469048,0.263007158617138
"weekday목요일2","경상남도",0.885551663085994,-0.140985692474526,0.263007158617138
"weekday수요일2","경상남도",0.885551663085994,-0.124918351118353,0.263007158617138
"weekday월요일2","경상남도",0.885551663085994,-0.251832990068467,0.263007158617138
"weekday일요일2","경상남도",0.885551663085994,0.0473670338780162,0.263007158617138
"weekday토요일2","경상남도",0.885551663085994,0.221090536891879,0.263007158617138
"weekday화요일2","경상남도",0.885551663085994,-0.155095946806199,0.263007158617138
"mean_fee2","경상남도",0.885551663085994,0.00206995394306947,0.263007158617138
"(Intercept)3","경상북도",0.724883132046406,-6.80761988442841,0.276060440112428
"rider_cnt3","경상북도",0.724883132046406,-0.00364936766856465,0.276060440112428
"ord_cnt3","경상북도",0.724883132046406,0.000597564378339403,0.276060440112428
"weekday목요일3","경상북도",0.724883132046406,-0.00375610487716312,0.276060440112428
"weekday수요일3","경상북도",0.724883132046406,0.040148528925235,0.276060440112428
"weekday월요일3","경상북도",0.724883132046406,-0.316195344719336,0.276060440112428
"weekday일요일3","경상북도",0.724883132046406,-0.170490886955564,0.276060440112428
"weekday토요일3","경상북도",0.724883132046406,-0.204294225184124,0.276060440112428
"weekday화요일3","경상북도",0.724883132046406,-0.149463428147354,0.276060440112428
"mean_fee3","경상북도",0.724883132046406,0.00164626304423418,0.276060440112428
"(Intercept)4","광주광역시",0.953113464643159,-2.49674693777883,0.394776340149563
"rider_cnt4","광주광역시",0.953113464643159,-0.0172143676278057,0.394776340149563
"ord_cnt4","광주광역시",0.953113464643159,0.000911292930784435,0.394776340149563
"weekday목요일4","광주광역시",0.953113464643159,0.106482646873586,0.394776340149563
"weekday수요일4","광주광역시",0.953113464643159,-0.107118951037457,0.394776340149563
"weekday월요일4","광주광역시",0.953113464643159,-0.176381515986647,0.394776340149563
"weekday일요일4","광주광역시",0.953113464643159,-0.71970578532217,0.394776340149563
"weekday토요일4","광주광역시",0.953113464643159,-0.659648584762971,0.394776340149563
"weekday화요일4","광주광역시",0.953113464643159,-0.390311337384351,0.394776340149563
"mean_fee4","광주광역시",0.953113464643159,0.00162428827249544,0.394776340149563
"(Intercept)5","대구광역시",0.425961499976319,7.79046429204415,0.892659366707881
"rider_cnt5","대구광역시",0.425961499976319,-0.012455542109847,0.892659366707881
"ord_cnt5","대구광역시",0.425961499976319,0.000140142074841107,0.892659366707881
"weekday목요일5","대구광역시",0.425961499976319,-0.51925980183594,0.892659366707881
"weekday수요일5","대구광역시",0.425961499976319,-0.135316565351281,0.892659366707881
"weekday월요일5","대구광역시",0.425961499976319,-0.0915753836063803,0.892659366707881
"weekday일요일5","대구광역시",0.425961499976319,-0.62340725361646,0.892659366707881
"weekday토요일5","대구광역시",0.425961499976319,-0.51554582892722,0.892659366707881
"weekday화요일5","대구광역시",0.425961499976319,-0.0248333317889312,0.892659366707881
"mean_fee5","대구광역시",0.425961499976319,0.000855433850950973,0.892659366707881
"(Intercept)6","대전광역시",0.899630191176916,-5.07970410251932,0.534578563241203
"rider_cnt6","대전광역시",0.899630191176916,-0.00620189341799187,0.534578563241203
"ord_cnt6","대전광역시",0.899630191176916,0.000771208088983726,0.534578563241203
"weekday목요일6","대전광역시",0.899630191176916,0.25321343940356,0.534578563241203
"weekday수요일6","대전광역시",0.899630191176916,0.355470073480121,0.534578563241203
"weekday월요일6","대전광역시",0.899630191176916,0.00938402794466409,0.534578563241203
"weekday일요일6","대전광역시",0.899630191176916,-0.482644652408272,0.534578563241203
"weekday토요일6","대전광역시",0.899630191176916,-0.524948614602473,0.534578563241203
"weekday화요일6","대전광역시",0.899630191176916,0.119902735672016,0.534578563241203
"mean_fee6","대전광역시",0.899630191176916,0.00120164834386714,0.534578563241203
"(Intercept)7","부산광역시",0.822718439905838,-2.86360082597924,0.660466959843766
"rider_cnt7","부산광역시",0.822718439905838,-0.00638932654165224,0.660466959843766
"ord_cnt7","부산광역시",0.822718439905838,0.000450524748972273,0.660466959843766
"weekday목요일7","부산광역시",0.822718439905838,-0.00555333512404907,0.660466959843766
"weekday수요일7","부산광역시",0.822718439905838,-0.113055930876253,0.660466959843766
"weekday월요일7","부산광역시",0.822718439905838,-0.350141388652322,0.660466959843766
"weekday일요일7","부산광역시",0.822718439905838,-1.02247185544218,0.660466959843766
"weekday토요일7","부산광역시",0.822718439905838,-0.877521772421832,0.660466959843766
"weekday화요일7","부산광역시",0.822718439905838,-0.418311958203043,0.660466959843766
"mean_fee7","부산광역시",0.822718439905838,0.0014257781364348,0.660466959843766
"(Intercept)8","서울특별시",0.84169875655393,-1.07634747184044,0.927260688992742
"rider_cnt8","서울특별시",0.84169875655393,-0.000768541764811655,0.927260688992742
"ord_cnt8","서울특별시",0.84169875655393,0.0000240628792702792,0.927260688992742
"weekday목요일8","서울특별시",0.84169875655393,-0.333160067592564,0.927260688992742
"weekday수요일8","서울특별시",0.84169875655393,-0.779446272930993,0.927260688992742
"weekday월요일8","서울특별시",0.84169875655393,-0.689451110880778,0.927260688992742
"weekday일요일8","서울특별시",0.84169875655393,-1.39069416289617,0.927260688992742
"weekday토요일8","서울특별시",0.84169875655393,-1.15761651769639,0.927260688992742
"weekday화요일8","서울특별시",0.84169875655393,-0.24612300847712,0.927260688992742
"mean_fee8","서울특별시",0.84169875655393,0.00209926517046161,0.927260688992742
"(Intercept)9","세종특별자치시",0.418973839983438,-1.23229643202077,0.483834325633697
"rider_cnt9","세종특별자치시",0.418973839983438,-0.0191684575915294,0.483834325633697
"ord_cnt9","세종특별자치시",0.418973839983438,0.00200587950323194,0.483834325633697
"weekday목요일9","세종특별자치시",0.418973839983438,0.153225186183167,0.483834325633697
"weekday수요일9","세종특별자치시",0.418973839983438,0.00950026920996428,0.483834325633697
"weekday월요일9","세종특별자치시",0.418973839983438,0.128123650181386,0.483834325633697
"weekday일요일9","세종특별자치시",0.418973839983438,0.00862193788315304,0.483834325633697
"weekday토요일9","세종특별자치시",0.418973839983438,-0.145677152124927,0.483834325633697
"weekday화요일9","세종특별자치시",0.418973839983438,-0.133834518344713,0.483834325633697
"mean_fee9","세종특별자치시",0.418973839983438,0.000483125203126623,0.483834325633697
"(Intercept)10","울산광역시",0.703547636515503,-8.53094329923136,0.986314296792819
"rider_cnt10","울산광역시",0.703547636515503,-0.0221150856896163,0.986314296792819
"ord_cnt10","울산광역시",0.703547636515503,0.00331823726025648,0.986314296792819
"weekday목요일10","울산광역시",0.703547636515503,0.547902226698184,0.986314296792819
"weekday수요일10","울산광역시",0.703547636515503,0.393671076920201,0.986314296792819
"weekday월요일10","울산광역시",0.703547636515503,-0.189922010400703,0.986314296792819
"weekday일요일10","울산광역시",0.703547636515503,-1.07698965992282,0.986314296792819
"weekday토요일10","울산광역시",0.703547636515503,-0.784720179704422,0.986314296792819
"weekday화요일10","울산광역시",0.703547636515503,-0.165917295668925,0.986314296792819
"mean_fee10","울산광역시",0.703547636515503,0.00209240896587334,0.986314296792819
"(Intercept)11","인천광역시",0.781358947894979,2.00592905334478,0.411819801803198
"rider_cnt11","인천광역시",0.781358947894979,-0.00348094679822647,0.411819801803198
"ord_cnt11","인천광역시",0.781358947894979,0.000129243452135192,0.411819801803198
"weekday목요일11","인천광역시",0.781358947894979,-0.316961307461401,0.411819801803198
"weekday수요일11","인천광역시",0.781358947894979,-0.590812214832501,0.411819801803198
"weekday월요일11","인천광역시",0.781358947894979,-0.512205395544414,0.411819801803198
"weekday일요일11","인천광역시",0.781358947894979,-0.885650586488603,0.411819801803198
"weekday토요일11","인천광역시",0.781358947894979,-0.607745787531296,0.411819801803198
"weekday화요일11","인천광역시",0.781358947894979,-0.254723955114842,0.411819801803198
"mean_fee11","인천광역시",0.781358947894979,0.000851559517124139,0.411819801803198
"(Intercept)12","전라남도",0.454546400978323,-5.10117823859169,0.490020155989737
"rider_cnt12","전라남도",0.454546400978323,-0.0127848021550221,0.490020155989737
