"","rgn1_nm","r2","coef","range"
"(Intercept)","강원도",0.67199609625923,-31.6708096055699,1.2028489981811
"rider_cnt","강원도",0.67199609625923,-0.0334579982875447,1.2028489981811
"ord_cnt","강원도",0.67199609625923,0.00216790532097155,1.2028489981811
"weekday목요일","강원도",0.67199609625923,-0.664761400159574,1.2028489981811
"weekday수요일","강원도",0.67199609625923,-0.110976027271362,1.2028489981811
"weekday월요일","강원도",0.67199609625923,0.255791536846112,1.2028489981811
"weekday일요일","강원도",0.67199609625923,-0.745031874355299,1.2028489981811
"weekday토요일","강원도",0.67199609625923,-0.0580264166661987,1.2028489981811
"weekday화요일","강원도",0.67199609625923,0.0373229942482334,1.2028489981811
"mean_fee","강원도",0.67199609625923,0.00706183813639336,1.2028489981811
"(Intercept)1","경기도",0.878624983374255,-23.141855728052,2.50471805368911
"rider_cnt1","경기도",0.878624983374255,-0.00376562098142017,2.50471805368911
"ord_cnt1","경기도",0.878624983374255,0.00014818588312926,2.50471805368911
"weekday목요일1","경기도",0.878624983374255,-1.13241760270734,2.50471805368911
"weekday수요일1","경기도",0.878624983374255,-2.46362205632265,2.50471805368911
"weekday월요일1","경기도",0.878624983374255,-2.05072954360448,2.50471805368911
"weekday일요일1","경기도",0.878624983374255,-5.0150649731997,2.50471805368911
"weekday토요일1","경기도",0.878624983374255,-3.36364981154003,2.50471805368911
"weekday화요일1","경기도",0.878624983374255,-1.02141267771211,2.50471805368911
"mean_fee1","경기도",0.878624983374255,0.0102754556721015,2.50471805368911
"(Intercept)2","경상남도",0.584904007973761,-29.9986562806482,2.47472101184374
"rider_cnt2","경상남도",0.584904007973761,-0.019314931382151,2.47472101184374
"ord_cnt2","경상남도",0.584904007973761,0.00123225952052361,2.47472101184374
"weekday목요일2","경상남도",0.584904007973761,-1.03238852841447,2.47472101184374
"weekday수요일2","경상남도",0.584904007973761,0.875002342364928,2.47472101184374
"weekday월요일2","경상남도",0.584904007973761,-0.211034761938956,2.47472101184374
"weekday일요일2","경상남도",0.584904007973761,1.10379034230141,2.47472101184374
"weekday토요일2","경상남도",0.584904007973761,0.154769875799411,2.47472101184374
"weekday화요일2","경상남도",0.584904007973761,-0.186475045632367,2.47472101184374
"mean_fee2","경상남도",0.584904007973761,0.00854581601069405,2.47472101184374
"(Intercept)3","경상북도",0.635297107631511,-29.4888128873437,1.79408830817215
"rider_cnt3","경상북도",0.635297107631511,-0.0285607640125412,1.79408830817215
"ord_cnt3","경상북도",0.635297107631511,0.00303047625981818,1.79408830817215
"weekday목요일3","경상북도",0.635297107631511,-0.920420429635943,1.79408830817215
"weekday수요일3","경상북도",0.635297107631511,-0.0297936112311003,1.79408830817215
"weekday월요일3","경상북도",0.635297107631511,-0.509144920557517,1.79408830817215
"weekday일요일3","경상북도",0.635297107631511,-0.35224483554476,1.79408830817215
"weekday토요일3","경상북도",0.635297107631511,-0.712267899377938,1.79408830817215
"weekday화요일3","경상북도",0.635297107631511,0.172008620058338,1.79408830817215
"mean_fee3","경상북도",0.635297107631511,0.00826976904215296,1.79408830817215
"(Intercept)4","광주광역시",0.718405112603772,-15.4920268246066,2.77549161474473
"rider_cnt4","광주광역시",0.718405112603772,-0.0475033078588321,2.77549161474473
"ord_cnt4","광주광역시",0.718405112603772,0.00164472212528039,2.77549161474473
"weekday목요일4","광주광역시",0.718405112603772,-0.820385309747001,2.77549161474473
"weekday수요일4","광주광역시",0.718405112603772,-1.31766811699572,2.77549161474473
"weekday월요일4","광주광역시",0.718405112603772,-0.696692290179444,2.77549161474473
"weekday일요일4","광주광역시",0.718405112603772,-1.19046710219399,2.77549161474473
"weekday토요일4","광주광역시",0.718405112603772,-0.831067814906666,2.77549161474473
"weekday화요일4","광주광역시",0.718405112603772,-0.712770412790919,2.77549161474473
"mean_fee4","광주광역시",0.718405112603772,0.00736145324600686,2.77549161474473
"(Intercept)5","대구광역시",0.0696817082354197,1.09642651391195,2.80555200761906
"rider_cnt5","대구광역시",0.0696817082354197,-0.0136213871564505,2.80555200761906
"ord_cnt5","대구광역시",0.0696817082354197,0.000159030812464313,2.80555200761906
"weekday목요일5","대구광역시",0.0696817082354197,-0.821714947048858,2.80555200761906
"weekday수요일5","대구광역시",0.0696817082354197,1.00511126854396,2.80555200761906
"weekday월요일5","대구광역시",0.0696817082354197,-0.324051048458034,2.80555200761906
"weekday일요일5","대구광역시",0.0696817082354197,-0.862131451687072,2.80555200761906
"weekday토요일5","대구광역시",0.0696817082354197,-0.470694034263109,2.80555200761906
"weekday화요일5","대구광역시",0.0696817082354197,0.0358262575791611,2.80555200761906
"mean_fee5","대구광역시",0.0696817082354197,0.00228115230257124,2.80555200761906
"(Intercept)6","대전광역시",0.674442586547598,-16.7548994560515,1.5781850041265
"rider_cnt6","대전광역시",0.674442586547598,-0.0150107953422169,1.5781850041265
