"reg_date","hour_reg","day_of_reg","pick_rgn2_nm","is_rain","month","week","day_of_reg2","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_2","order_cnt_w_3","order_cnt_w_4","rider_cnt_w_1","order_cnt_w_1","is_holiday","is_holiday2"
2023-05-16,9,"岿格","碍巢备",0,5,2,"拳夸老",173,185,149,370,367,332,174,341,0,0
2023-05-16,10,"岿格","碍巢备",0,5,2,"拳夸老",426,439,480,859,837,945,440,760,0,0
2023-05-16,11,"岿格","碍巢备",0,5,2,"拳夸老",908,966,955,2371,2881,3126,944,2422,0,0
2023-05-16,12,"岿格","碍巢备",0,5,2,"拳夸老",849,886,909,1866,1961,1941,851,1782,0,0
2023-05-16,13,"岿格","碍巢备",0,5,2,"拳夸老",525,565,530,1088,1160,1125,523,1122,0,0
2023-05-16,14,"岿格","碍巢备",0,5,2,"拳夸老",389,383,371,879,886,812,389,838,0,0
2023-05-16,15,"岿格","碍巢备",0,5,2,"拳夸老",368,374,337,836,873,820,355,747,0,0
2023-05-16,16,"岿格","碍巢备",0,5,2,"拳夸老",460,454,422,1032,1075,1000,446,1013,0,0
2023-05-16,17,"岿格","碍巢备",0,5,2,"拳夸老",644,710,622,1400,1684,1432,669,1415,0,0
2023-05-16,18,"岿格","碍巢备",0,5,2,"拳夸老",910,871,870,2261,2258,2142,872,2072,0,0
2023-05-16,19,"岿格","碍巢备",0,5,2,"拳夸老",891,849,861,2109,1860,2084,860,2041,0,0
2023-05-16,20,"岿格","碍巢备",0,5,2,"拳夸老",677,717,623,1515,1309,1404,649,1461,0,0
2023-05-16,21,"岿格","碍巢备",0,5,2,"拳夸老",456,433,471,1032,1079,1035,438,1004,0,0
2023-05-16,22,"岿格","碍巢备",0,5,2,"拳夸老",346,347,372,802,785,842,359,890,0,0
2023-05-16,23,"岿格","碍巢备",0,5,2,"拳夸老",266,276,302,619,642,647,262,612,0,0
2023-05-16,9,"岿格","碍悼备",0,5,2,"拳夸老",42,43,38,74,60,75,29,53,0,0
2023-05-16,10,"岿格","碍悼备",0,5,2,"拳夸老",82,84,75,133,145,160,72,111,0,0
2023-05-16,11,"岿格","碍悼备",0,5,2,"拳夸老",185,156,163,403,413,457,143,341,0,0
2023-05-16,12,"岿格","碍悼备",0,5,2,"拳夸老",175,161,148,378,397,361,166,338,0,0
2023-05-16,13,"岿格","碍悼备",0,5,2,"拳夸老",142,127,127,275,257,272,113,234,0,0
2023-05-16,14,"岿格","碍悼备",0,5,2,"拳夸老",93,111,106,178,240,213,87,163,0,0
2023-05-16,15,"岿格","碍悼备",0,5,2,"拳夸老",92,103,95,178,206,213,83,180,0,0
