"Group.1","Group.2","x"
"9","강동구",28.5313783987213
"10","강동구",23.8646674851818
"11","강동구",22.934282325005
"12","강동구",15.9923512622712
"13","강동구",18.9548393015204
"14","강동구",41.6231479136573
"15","강동구",24.658823237233
"16","강동구",37.8557138378474
"17","강동구",18.3089987188451
"18","강동구",34.726186665841
"19","강동구",45.0573780851755
"20","강동구",54.781845682446
"21","강동구",51.0252977709197
"22","강동구",59.8885566082212
"23","강동구",46.8120967891902
"24","강동구",35.3857028181558
"25","강동구",30.1426552429789
"9","강북구",29.8216287297556
"10","강북구",23.9801816220154
"11","강북구",19.5087663246009
"12","강북구",20.7429564838285
"13","강북구",15.2251766085921
"14","강북구",19.7487931446114
"15","강북구",29.6452897242663
"16","강북구",36.4407513153741
"17","강북구",10.5681713285002
"18","강북구",36.6110367568185
"19","강북구",37.8172435649694
"20","강북구",35.0469902720912
"21","강북구",46.0467838767463
"22","강북구",34.8002233379041
"23","강북구",39.6801471646174
"24","강북구",42.5063786312677
"25","강북구",33.7405723921205
"9","강서구",20.5512611365857
"10","강서구",11.4244770640071
"11","강서구",25.0569056233702
"12","강서구",18.9078485046659
"13","강서구",22.5984980864086
"14","강서구",31.7212260504658
"15","강서구",45.2459689442561
"16","강서구",36.5625749295037
"17","강서구",36.4699453184224
"18","강서구",34.4418538264068
"19","강서구",25.788800846765
"20","강서구",54.3246533828021
"21","강서구",58.7823161432856
"22","강서구",51.2040113727117
"23","강서구",41.9911825581444
"24","강서구",35.1437337571145
"25","강서구",11.6193640695638
"9","관악구",17.8495770586703
"10","관악구",22.8244620667449
"11","관악구",33.1434979038707
"12","관악구",24.0245653983429
"13","관악구",12.514755061284
"14","관악구",25.6072303937143
"15","관악구",39.2030233762047
"16","관악구",33.2968580739942
"17","관악구",53.5669389892508
"18","관악구",17.7802070656814
"19","관악구",23.1002197197862
"20","관악구",25.220818731199
"21","관악구",48.2747892894529
"22","관악구",49.8466980045045
"23","관악구",53.8170432667492
"24","관악구",44.0653810275456
"25","관악구",20.0288629117436
"9","광진구",26.3329658021352
"10","광진구",20.8269255415247
"11","광진구",31.6458308883814
"12","광진구",20.5290984666495
"13","광진구",26.2664098707911
"14","광진구",52.8745014222419
"15","광진구",33.8240826862393
"16","광진구",45.0298127947845
"17","광진구",28.2716157326293
"18","광진구",41.664082222038
"19","광진구",32.9419119823104
"20","광진구",63.3024701438625
"21","광진구",58.2503085081835
"22","광진구",54.1803121377608
"23","광진구",54.6332633164204
"24","광진구",33.9606947892455
"25","광진구",51.130818277217
"9","구로구",23.1660286103075
"10","구로구",17.7861589566404
"11","구로구",15.0009013461814
"12","구로구",19.3264257609283
"13","구로구",15.5321855166452
"14","구로구",8.00744137459202
"15","구로구",21.6129154522514
"16","구로구",35.3597383060474
"17","구로구",13.3750716383341
"18","구로구",40.5849966519628
"19","구로구",50.6099821771989
"20","구로구",31.8647886261027
"21","구로구",35.1266058980566
"22","구로구",31.6221408528236
"23","구로구",46.4896676445749
"24","구로구",18.4446159665207
"25","구로구",22.2498184561752
"9","금천구",29.2210309460691
"10","금천구",26.8143086603909
"11","금천구",15.191088169389
"12","금천구",12.3084927219052
"13","금천구",17.8523927965821
"14","금천구",20.8860163759214
"15","금천구",20.5967635265059
"16","금천구",23.1417759143824
"17","금천구",2.9258797293105
"18","금천구",18.609102526188
"19","금천구",11.3980322840895
"20","금천구",32.229436581616
"21","금천구",24.380738517541
"22","금천구",38.0943376820082
"23","금천구",54.8505670550303
"24","금천구",21.5594400861198
"25","금천구",32.0642375306266
"9","노원구",21.3097871260129
"10","노원구",21.6746531587755
"11","노원구",21.8192631559818
"12","노원구",26.9053888051892
"13","노원구",24.7999809511394
"14","노원구",22.352738118371
"15","노원구",24.532984348709
"16","노원구",37.0823899777633
"17","노원구",19.8010444025515
"18","노원구",45.9425698982441
"19","노원구",35.4989481039326
"20","노원구",41.1845086674746
"21","노원구",48.001673851416
"22","노원구",39.8157239246605
"23","노원구",42.1800886304991
"24","노원구",42.1315496877348
"25","노원구",24.2401353822115
"9","도봉구",28.7243791173984
"10","도봉구",24.2819316608224
"11","도봉구",22.1478964454078
"12","도봉구",17.1657242369164
"13","도봉구",27.6667427227342
"14","도봉구",36.4382509356199
"15","도봉구",17.9697462193934
"16","도봉구",18.7335495843684
"17","도봉구",11.9278015745517
"18","도봉구",29.1236477199826
"19","도봉구",27.2603059186601
"20","도봉구",41.5175091421345
"21","도봉구",33.2092361384011
"22","도봉구",35.393452935023
"23","도봉구",42.6324269927327
"24","도봉구",36.3279168490272
"25","도봉구",29.7436693415185
"9","동대문구",22.3154785256291
"10","동대문구",18.1502275751459
"11","동대문구",7.72893430375968
"12","동대문구",13.6503396965498
"13","동대문구",32.6192598995522
"14","동대문구",30.9793895067747
"15","동대문구",22.9744215578705
"16","동대문구",45.0399444524475
"17","동대문구",1.30470278508351
"18","동대문구",22.4282106181865
"19","동대문구",38.9517321640241
"20","동대문구",25.6850596088681
"21","동대문구",39.3638348861149
"22","동대문구",39.5779532259962
"23","동대문구",43.5520008155052
"24","동대문구",40.2973643852221
"25","동대문구",32.5086976558552
"9","동작구",17.2469945278166
"10","동작구",15.2520316445312
"11","동작구",15.9972757281877
"12","동작구",23.999276978549
"13","동작구",28.623970000013
"14","동작구",25.617979487358
"15","동작구",33.8395180490163
"16","동작구",24.2922852630975
"17","동작구",9.29586081470754
"18","동작구",24.7753320404112
"19","동작구",13.5013585965583
"20","동작구",31.9638599141103
"21","동작구",30.628041463692
"22","동작구",49.6118178474021
"23","동작구",52.2328407550505
"24","동작구",17.1662717887928
"25","동작구",35.525661223696
"9","마포구",14.212895362891
"10","마포구",15.9985634510631
"11","마포구",37.0250238348835
"12","마포구",31.2394733330188
"13","마포구",19.4554365238947
"14","마포구",14.6948349915063
"15","마포구",31.2931446321291
"16","마포구",23.3280119074797
"17","마포구",24.3137083078468
"18","마포구",51.3224967611991
"19","마포구",58.4618831549286
"20","마포구",44.5965292514425
"21","마포구",37.7324464154523
"22","마포구",19.3322155635555
"23","마포구",27.8864665325674
"24","마포구",36.72196293163
"25","마포구",35.0711520642073
"9","서대문구",17.6555574399715
"10","서대문구",20.5445393507439
"11","서대문구",6.84372822311722
"12","서대문구",21.4138234179877
"13","서대문구",26.5754330753653
"14","서대문구",39.0381921210813
"15","서대문구",23.4658423286437
"16","서대문구",45.0914332703306
"17","서대문구",5.09754399976008
"18","서대문구",21.4634471620675
"19","서대문구",11.414294637909
"20","서대문구",50.1886836291945
"21","서대문구",36.6877011119844
"22","서대문구",40.3475807268911
"23","서대문구",41.3974553513677
"24","서대문구",28.7774799315649
"25","서대문구",21.4863951648884
"9","서초구",11.7889328200452
"10","서초구",28.3325502281037
"11","서초구",49.1146121751342
"12","서초구",43.2620066753578
"13","서초구",8.18236858658778
"14","서초구",13.8680933697018
"15","서초구",15.3670013029719
"16","서초구",7.86046284510434
"17","서초구",49.2702297686743
"18","서초구",31.8450287729037
"19","서초구",27.838834976532
"20","서초구",32.0873109056572
"21","서초구",39.6008512892297
"22","서초구",26.1718274649825
"23","서초구",20.9716383510317
"24","서초구",34.7024073281764
"25","서초구",34.414871477453
"9","성동구",24.6302479476117
"10","성동구",25.5179080040778
"11","성동구",17.6718206470976
"12","성동구",24.2287333628716
"13","성동구",16.015493956601
"14","성동구",33.400961183289
"15","성동구",34.0453486795293
"16","성동구",32.9106920928338
"17","성동구",13.5029601584199
"18","성동구",26.1418898396253
"19","성동구",35.5755693905279
"20","성동구",67.2388020243024
"21","성동구",31.9729233241357
"22","성동구",25.4391591653553
"23","성동구",39.3546986460722
"24","성동구",38.4682894186315
"25","성동구",27.4101994698308
"9","성북구",22.5266078046404
"10","성북구",22.1292909207057
"11","성북구",18.2520222713876
"12","성북구",26.8631284487117
"13","성북구",24.0432253803774
"14","성북구",33.3550268498387
"15","성북구",31.4588102018702
"16","성북구",40.2379773741473
"17","성북구",18.1466680253408
"18","성북구",42.3348434334405
