"pick_rgn2_nm","day_of_reg","hour_reg","is_rain","is_holiday","most_rf_x","percent_rf"
"강남구","금요일",9,0,0,"1",42.8571428571429
"강남구","금요일",9,1,0,"0.9",100
"강남구","금요일",9,1,1,"1.3",100
"강남구","금요일",10,0,0,"1",87.5
"강남구","금요일",11,0,0,"1",62.5
"강남구","금요일",12,0,0,"1",60
"강남구","금요일",12,0,1,"1",100
"강남구","금요일",12,1,0,"1",100
"강남구","금요일",13,0,0,"1",50
"강남구","금요일",13,0,1,"1.1",100
"강남구","금요일",14,0,0,"1",70.5882352941177
"강남구","금요일",15,0,0,"1",62.5
"강남구","금요일",15,1,1,"1.2",100
"강남구","금요일",16,0,0,"1",76.4705882352941
"강남구","금요일",17,0,0,"1",76.4705882352941
"강남구","금요일",17,1,1,"1.1",100
"강남구","금요일",18,0,0,"1",81.25
"강남구","금요일",18,1,1,"1",100
"강남구","금요일",19,0,0,"1",88.2352941176471
"강남구","금요일",20,0,0,"1",41.1764705882353
"강남구","금요일",21,0,0,"1",66.6666666666667
"강남구","금요일",21,1,0,"0.9",50
"강남구","금요일",21,1,1,"1.1",100
"강남구","금요일",22,0,0,"1",37.5
"강남구","금요일",22,1,1,"1",100
"강남구","금요일",23,0,0,"1",46.6666666666667
"강남구","금요일",23,1,0,"0.8",50
"강남구","금요일",23,1,1,"1.1",100
"강남구","목요일",9,0,0,"1",38.8888888888889
"강남구","목요일",9,1,0,"0.7",100
"강남구","목요일",10,0,0,"1",64.7058823529412
"강남구","목요일",10,1,0,"0.7",50
"강남구","목요일",11,0,0,"1",72.2222222222222
"강남구","목요일",11,1,0,"0.6",100
"강남구","목요일",12,0,0,"1",82.3529411764706
"강남구","목요일",12,1,0,"0.7",50
"강남구","목요일",13,0,0,"1",52.9411764705882
"강남구","목요일",13,1,0,"1",100
"강남구","목요일",14,0,0,"1",88.2352941176471
"강남구","목요일",14,1,0,"0.9",50
"강남구","목요일",15,0,0,"1",66.6666666666667
"강남구","목요일",15,1,0,"0.9",100
"강남구","목요일",16,0,0,"1",52.9411764705882
"강남구","목요일",16,1,0,"0.9",50
"강남구","목요일",17,0,0,"1",77.7777777777778
"강남구","목요일",17,1,0,"0.8",100
"강남구","목요일",18,0,0,"1",61.1111111111111
"강남구","목요일",18,1,0,"0.8",100
"강남구","목요일",19,0,0,"1",66.6666666666667
"강남구","목요일",19,1,0,"0.8",100
"강남구","목요일",20,0,0,"1",70.5882352941177
"강남구","목요일",20,1,0,"1",50
"강남구","목요일",21,0,0,"1",75
"강남구","목요일",21,1,0,"1",66.6666666666667
"강남구","목요일",22,0,0,"1",72.2222222222222
"강남구","목요일",22,1,0,"1",100
"강남구","목요일",23,0,0,"1",38.8888888888889
"강남구","목요일",23,1,0,"1",100
"강남구","수요일",9,0,0,"1",52.9411764705882
"강남구","수요일",9,0,1,"1",100
"강남구","수요일",9,1,0,"0.9",100
"강남구","수요일",10,0,0,"1",64.7058823529412
"강남구","수요일",10,0,1,"0.9",100
"강남구","수요일",10,1,0,"1.2",100
"강남구","수요일",11,0,0,"1",76.4705882352941
"강남구","수요일",11,0,1,"1",100
"강남구","수요일",11,1,0,"1",100
"강남구","수요일",12,0,0,"1",70.5882352941177
"강남구","수요일",12,0,1,"0.8",100
"강남구","수요일",12,1,0,"1",100
"강남구","수요일",13,0,0,"1",58.8235294117647
"강남구","수요일",13,0,1,"1.3",100
"강남구","수요일",13,1,0,"1.2",100
"강남구","수요일",14,0,0,"1",64.7058823529412
"강남구","수요일",14,0,1,"1",100
"강남구","수요일",14,1,0,"1",100
"강남구","수요일",15,0,0,"1",72.2222222222222
"강남구","수요일",15,0,1,"1",100
"강남구","수요일",16,0,0,"1",61.1111111111111
"강남구","수요일",16,0,1,"1.2",100
"강남구","수요일",17,0,0,"1",88.2352941176471
"강남구","수요일",17,0,1,"1.1",100
"강남구","수요일",17,1,0,"1",100
"강남구","수요일",18,0,0,"1",83.3333333333333
"강남구","수요일",18,0,1,"1",100
"강남구","수요일",19,0,0,"1",77.7777777777778
"강남구","수요일",19,0,1,"1",100
"강남구","수요일",20,0,0,"1",66.6666666666667
"강남구","수요일",20,0,1,"1.1",100
"강남구","수요일",21,0,0,"1",76.4705882352941
"강남구","수요일",21,0,1,"1",100
"강남구","수요일",21,1,0,"1",100
"강남구","수요일",22,0,0,"1",72.2222222222222
"강남구","수요일",22,0,1,"1.1",100
"강남구","수요일",23,0,0,"1",50
"강남구","수요일",23,0,1,"1",100
"강남구","월요일",9,0,0,"1",68.75
"강남구","월요일",9,0,1,"1",100
"강남구","월요일",9,1,0,"1",100
"강남구","월요일",10,0,0,"1",56.25
"강남구","월요일",10,0,1,"1",100
"강남구","월요일",10,1,0,"1.1",100
"강남구","월요일",11,0,0,"1",82.3529411764706
"강남구","월요일",11,0,1,"0.8",50
"강남구","월요일",12,0,0,"1",58.8235294117647
"강남구","월요일",12,0,1,"1",100
"강남구","월요일",13,0,0,"1",58.8235294117647
"강남구","월요일",13,0,1,"0.8",50
"강남구","월요일",14,0,0,"1",58.8235294117647
"강남구","월요일",14,0,1,"0.9",50
"강남구","월요일",15,0,0,"1",64.7058823529412
"강남구","월요일",15,0,1,"1",50
"강남구","월요일",16,0,0,"1",82.3529411764706
"강남구","월요일",16,0,1,"1",50
"강남구","월요일",17,0,0,"1",70.5882352941177
"강남구","월요일",17,0,1,"0.8",50
"강남구","월요일",18,0,0,"1",82.3529411764706
"강남구","월요일",18,0,1,"0.9",50
"강남구","월요일",19,0,0,"1",76.4705882352941
"강남구","월요일",19,0,1,"0.9",50
"강남구","월요일",20,0,0,"1",64.7058823529412
"강남구","월요일",20,0,1,"0.9",50
"강남구","월요일",21,0,0,"1",64.7058823529412
"강남구","월요일",21,0,1,"0.9",50
"강남구","월요일",22,0,0,"1",64.7058823529412
"강남구","월요일",22,0,1,"1",50
"강남구","월요일",23,0,0,"1",35.2941176470588
"강남구","월요일",23,0,1,"0.9",50
"강남구","일요일",9,0,1,"1",43.75
"강남구","일요일",9,1,1,"0.9",66.6666666666667
"강남구","일요일",10,0,1,"1",50
"강남구","일요일",10,1,1,"1",100
"강남구","일요일",11,0,1,"1",61.1111111111111
"강남구","일요일",11,1,1,"0.9",100
"강남구","일요일",12,0,1,"1",58.8235294117647
"강남구","일요일",12,1,1,"0.9",50
"강남구","일요일",13,0,1,"1",44.4444444444444
"강남구","일요일",13,1,1,"0.9",100
"강남구","일요일",14,0,1,"1",66.6666666666667
"강남구","일요일",14,1,1,"0.9",100
"강남구","일요일",15,0,1,"1",52.9411764705882
"강남구","일요일",15,1,1,"1",50
