"not_rain_gn_predict","test_data_gn_not.reg_date","test_data_gn_not.hour_reg","test_data_gn_not.pick_rgn2_nm"
176.841238610714,2023-05-03,"24","강남구"
117.588397884602,2023-05-03,"25","강남구"
152.406751927748,2023-05-03,"9","강남구"
407.301735269854,2023-05-03,"10","강남구"
910.052312942513,2023-05-03,"11","강남구"
788.45154595216,2023-05-03,"12","강남구"
514.018665742824,2023-05-03,"13","강남구"
383.72344424275,2023-05-03,"14","강남구"
363.273116265562,2023-05-03,"15","강남구"
434.974793574835,2023-05-03,"16","강남구"
655.034092338156,2023-05-03,"17","강남구"
864.660668887557,2023-05-03,"18","강남구"
839.334351090542,2023-05-03,"19","강남구"
619.459171454937,2023-05-03,"20","강남구"
435.98011688732,2023-05-03,"21","강남구"
354.592192203652,2023-05-03,"22","강남구"
267.53690537632,2023-05-03,"23","강남구"
130.155739364919,2023-05-06,"24","강남구"
70.1779517782936,2023-05-06,"25","강남구"
155.983275972011,2023-05-06,"9","강남구"
366.5305131421,2023-05-06,"10","강남구"
674.497685577708,2023-05-06,"11","강남구"
693.423000169031,2023-05-06,"12","강남구"
577.323635327603,2023-05-06,"13","강남구"
430.373031215809,2023-05-06,"14","강남구"
393.847254133843,2023-05-06,"15","강남구"
438.378778416645,2023-05-06,"16","강남구"
655.865178060477,2023-05-06,"17","강남구"
783.471020588367,2023-05-06,"18","강남구"
774.2221749951,2023-05-06,"19","강남구"
598.590955865051,2023-05-06,"20","강남구"
453.83658971096,2023-05-06,"21","강남구"
365.914755411204,2023-05-06,"22","강남구"
261.510936697766,2023-05-06,"23","강남구"
126.447511929515,2023-05-07,"24","강남구"
63.2733180823653,2023-05-07,"25","강남구"
135.20047684014,2023-05-07,"9","강남구"
331.960424249771,2023-05-07,"10","강남구"
625.589828212653,2023-05-07,"11","강남구"
666.549349633037,2023-05-07,"12","강남구"
555.142856010354,2023-05-07,"13","강남구"
433.179481329082,2023-05-07,"14","강남구"
406.38028154706,2023-05-07,"15","강남구"
455.848161444264,2023-05-07,"16","강남구"
675.958991446716,2023-05-07,"17","강남구"
796.622842232836,2023-05-07,"18","강남구"
796.97153171895,2023-05-07,"19","강남구"
549.108134771951,2023-05-07,"20","강남구"
406.507326236022,2023-05-07,"21","강남구"
323.847388757708,2023-05-07,"22","강남구"
225.449668438112,2023-05-07,"23","강남구"
183.112921603973,2023-05-08,"24","강남구"
115.645573938708,2023-05-08,"25","강남구"
152.244511346769,2023-05-08,"9","강남구"
370.443781156693,2023-05-08,"10","강남구"
873.460693178653,2023-05-08,"11","강남구"
769.782833389645,2023-05-08,"12","강남구"
483.242771787522,2023-05-08,"13","강남구"
376.937252559352,2023-05-08,"14","강남구"
353.381160171535,2023-05-08,"15","강남구"
428.677733883393,2023-05-08,"16","강남구"
645.945385241323,2023-05-08,"17","강남구"
876.836380295526,2023-05-08,"18","강남구"
856.566043340085,2023-05-08,"19","강남구"
609.774919978591,2023-05-08,"20","강남구"
440.310836413379,2023-05-08,"21","강남구"
351.409430890255,2023-05-08,"22","강남구"
261.465721621275,2023-05-08,"23","강남구"
